,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
211,40_2_factory_1,9.0,1791.0,0.0,1794.0,3.0,0.0016750418760469012,1,feasible_and_dc
212,40_2_factory_1,,,,,,,2,infeasible
213,40_3_factory_1,0.0,1539.0,0.0,1542.0,3.0,0.001949317738791423,1,feasible_and_dc
214,40_3_factory_1,1.0,1525.0,0.0,1525.0,0.0,0.0,1,feasible_and_dc
215,40_3_factory_1,2.0,1540.0,0.0,1540.0,0.0,0.0,1,feasible_and_dc
216,40_3_factory_1,3.0,1508.0,0.0,1508.0,0.0,0.0,1,feasible_and_dc
217,40_3_factory_1,4.0,1483.0,0.0,1483.0,0.0,0.0,1,feasible_and_dc
218,40_3_factory_1,5.0,1551.0,0.0,1551.0,0.0,0.0,1,feasible_and_dc
219,40_3_factory_1,6.0,1617.0,0.0,1617.0,0.0,0.0,1,feasible_and_dc
220,40_3_factory_1,7.0,1545.0,0.0,1545.0,0.0,0.0,1,feasible_and_dc
221,40_3_factory_1,8.0,1539.0,0.0,1545.0,6.0,0.003898635477582846,1,feasible_and_dc
222,40_3_factory_1,9.0,1527.0,0.0,1543.0,16.0,0.010478061558611657,1,feasible_and_dc
223,40_3_factory_1,,,,,,,2,infeasible
224,40_4_factory_1,0.0,1606.0,0.0,1624.0,18.0,0.0112079701120797,1,feasible_and_dc
225,40_4_factory_1,1.0,1596.0,0.0,1596.0,0.0,0.0,1,feasible_and_dc
226,40_4_factory_1,2.0,1590.0,0.0,1604.0,14.0,0.00880503144654088,1,feasible_and_dc
227,40_4_factory_1,3.0,1632.0,0.0,1637.0,5.0,0.0030637254901960784,1,feasible_and_dc
228,40_4_factory_1,4.0,1642.0,0.0,1652.0,10.0,0.0060901339829476245,1,feasible_and_dc
229,40_4_factory_1,5.0,1634.0,0.0,1641.0,7.0,0.004283965728274173,1,feasible_and_dc
230,40_4_factory_1,6.0,1636.0,0.0,1659.0,23.0,0.014058679706601468,1,feasible_and_dc
231,40_4_factory_1,7.0,1626.0,0.0,1648.0,22.0,0.013530135301353014,1,feasible_and_dc
232,40_4_factory_1,8.0,1640.0,0.0,1646.0,6.0,0.003658536585365854,1,feasible_and_dc
233,40_4_factory_1,9.0,1667.0,0.0,1669.0,2.0,0.0011997600479904018,1,feasible_and_dc
234,40_4_factory_1,0.0,1621.0,0.0,1780.0,159.0,0.09808760024676126,2,feasible_and_dc
