instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_117,STNU,2,27.0,23.0,17.391304347826086
j10_117,STNU,3,26.0,24.0,8.333333333333334
j10_117,STNU,4,26.0,23.0,13.043478260869565
j10_118,STNU,0,inf,inf,0.0
j10_118,STNU,1,inf,inf,0.0
j10_118,STNU,2,inf,inf,0.0
j10_118,STNU,3,inf,inf,0.0
j10_118,STNU,4,inf,inf,0.0
j10_119,STNU,0,inf,inf,0.0
j10_119,STNU,1,inf,inf,0.0
j10_119,STNU,2,inf,inf,0.0
j10_119,STNU,3,inf,inf,0.0
j10_119,STNU,4,inf,inf,0.0
j10_120,STNU,0,inf,38.0,100.0
j10_120,STNU,1,inf,40.0,100.0
j10_120,STNU,2,inf,38.0,100.0
j10_120,STNU,3,inf,38.0,100.0
j10_120,STNU,4,inf,39.0,100.0
j10_121,STNU,0,inf,55.0,100.0
j10_121,STNU,1,inf,56.0,100.0
j10_121,STNU,2,inf,53.0,100.0
j10_121,STNU,3,inf,55.0,100.0
j10_121,STNU,4,inf,49.0,100.0
j10_122,STNU,0,inf,inf,0.0
j10_122,STNU,1,inf,65.0,100.0
j10_122,STNU,2,inf,inf,0.0
j10_122,STNU,3,inf,inf,0.0
j10_122,STNU,4,inf,inf,0.0
j10_123,STNU,0,inf,inf,0.0
j10_123,STNU,1,inf,inf,0.0
