,instance,status,sample,rcpsp/max_feasible,makespan_rte_star
65,j10/PSP54,feasible_but_not_dc,0,NotApplicable,
66,j10/PSP55,infeasible,0,NotApplicable,
67,j10/PSP56,feasible_but_not_dc,0,NotApplicable,
68,j10/PSP57,feasible_but_not_dc,0,NotApplicable,
69,j10/PSP58,feasible_and_dc,0,True,25.0
70,j10/PSP58,feasible_and_dc,1,True,25.0
71,j10/PSP59,feasible_but_not_dc,0,NotApplicable,
72,j10/PSP60,feasible_but_not_dc,0,NotApplicable,
73,j10/PSP61,infeasible,0,NotApplicable,
74,j10/PSP62,feasible_but_not_dc,0,NotApplicable,
