,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method
,instance_folder,instance_name,sample,relative_regret,obj,obj_pi,method
445,j10,PSP9,45,2.3255813953488373,44.0,43.0,reactive
446,j10,PSP9,46,4.545454545454546,46.0,44.0,reactive
447,j10,PSP9,47,15.384615384615385,45.0,39.0,reactive
448,j10,PSP9,48,2.3255813953488373,44.0,43.0,reactive
449,j10,PSP9,49,2.0,51.0,50.0,reactive
450,j10,PSP10,0,100.0,inf,36.0,reactive
451,j10,PSP10,1,0.0,33.0,33.0,reactive
452,j10,PSP10,2,3.4482758620689653,30.0,29.0,reactive
453,j10,PSP10,3,3.5714285714285716,29.0,28.0,reactive
454,j10,PSP10,4,0.0,35.0,35.0,reactive
455,j10,PSP10,5,0.0,31.0,31.0,reactive
456,j10,PSP10,6,100.0,inf,32.0,reactive
457,j10,PSP10,7,0.0,31.0,31.0,reactive
458,j10,PSP10,8,2.9411764705882355,35.0,34.0,reactive
459,j10,PSP10,9,0.0,37.0,37.0,reactive
460,j10,PSP10,10,0.0,30.0,30.0,reactive
461,j10,PSP10,11,6.0606060606060606,35.0,33.0,reactive
462,j10,PSP10,12,100.0,inf,37.0,reactive
463,j10,PSP10,13,0.0,34.0,34.0,reactive
464,j10,PSP10,14,100.0,inf,32.0,reactive
465,j10,PSP10,15,0.0,37.0,37.0,reactive
466,j10,PSP10,16,100.0,inf,36.0,reactive
467,j10,PSP10,17,0.0,28.0,28.0,reactive
468,j10,PSP10,18,5.555555555555555,38.0,36.0,reactive
469,j10,PSP10,19,5.555555555555555,38.0,36.0,reactive
470,j10,PSP10,20,2.9411764705882355,35.0,34.0,reactive
471,j10,PSP10,21,2.9411764705882355,35.0,34.0,reactive
472,j10,PSP10,22,100.0,inf,34.0,reactive
473,j10,PSP10,23,6.451612903225806,33.0,31.0,reactive
474,j10,PSP10,24,0.0,36.0,36.0,reactive
475,j10,PSP10,25,100.0,inf,33.0,reactive
476,j10,PSP10,26,0.0,28.0,28.0,reactive
477,j10,PSP10,27,6.0606060606060606,35.0,33.0,reactive
478,j10,PSP10,28,5.2631578947368425,40.0,38.0,reactive
479,j10,PSP10,29,3.225806451612903,32.0,31.0,reactive
480,j10,PSP10,30,3.225806451612903,32.0,31.0,reactive
481,j10,PSP10,31,3.0303030303030303,34.0,33.0,reactive
482,j10,PSP10,32,0.0,28.0,28.0,reactive
